1000,66,14,40
3000,1395,18,706.5
5000,3138,20,1579
7000,2207,21,1114
9000,2310,22,1166
11000,4965,23,2494
13000,12447,24,6235.5
15000,28170,25,14097.5
17000,11170,25,5597.5
19000,38255,26,19140.5
21000,17255,26,8640.5
23000,63382,27,31704.5
25000,38382,27,19204.5
27000,11382,27,5704.5
29000,86073,28,43050.5
31000,55073,28,27550.5
33000,22073,28,11050.5
35000,142609,29,71319
37000,105609,29,52819
39000,66609,29,33319
41000,25609,29,12819
43000,215913,30,107972
45000,170913,30,85471.5
47000,123913,30,61971.5
49000,74913,30,37471.5
51000,23913,30,11971.5
53000,320869,31,160450
55000,265869,31,132950
57000,208869,31,104450
59000,149869,31,74950
38233
