1000,0,996,498
3000,0,3996,1998
5000,0,8996,4498
7000,0,15996,7998
9000,0,24996,12498
11000,0,35996,17998
13000,0,48996,24498
15000,0,63996,31998
17000,0,80996,40498
19000,0,99996,49998
21000,0,120996,60498
23000,0,143996,71998
25000,0,168996,84498
27000,0,195996,97998
29000,0,224996,112498
31000,0,255996,127998
33000,0,288996,144498
35000,0,323996,161998
37000,0,360996,180498
39000,0,399996,199998
41000,0,440996,220498
43000,0,483996,241998
45000,0,528996,264498
47000,0,575996,287998
49000,0,624996,312498
51000,0,675996,337998
53000,0,728996,364498
55000,0,783996,391998
57000,0,840996,420498
59000,0,899996,449998
157581
