1000,233,10,121.5
3000,3189,13,1601
5000,3940,14,1977
7000,7292,15,3653.5
9000,16925,16,8470.5
11000,5925,16,2970.5
13000,26465,17,13241
15000,11465,17,5741
17000,54837,18,27427.5
19000,35837,18,17927.5
21000,14837,18,7427.5
23000,100506,19,50262.5
25000,75506,19,37762.5
27000,48506,19,24262.5
29000,19506,19,9762.5
31000,184110,20,92065
33000,151110,20,75565
35000,116110,20,58065
37000,79110,20,39565
39000,40110,20,20065
41000,351198,21,175610
43000,308198,21,154110
45000,263198,21,131610
47000,216198,21,108110
49000,167198,21,83609.5
51000,116198,21,58109.5
53000,63198,21,31609.5
55000,8198,21,4109.5
57000,584956,22,292489
59000,525956,22,262989
60009
