1000,24,8,16
3000,96,10,53
5000,7384,12,3698
7000,384,12,198
9000,7768,13,3890.5
11000,29536,14,14775
13000,16536,14,8275
15000,1536,14,775
17000,50072,15,25043.5
19000,31072,15,15543.5
21000,10072,15,5043.5
23000,118144,16,59080
25000,93144,16,46580
27000,66144,16,33080
29000,37144,16,18580
31000,6144,16,3080
33000,235288,17,117652
35000,200288,17,100152
37000,163288,17,81652.5
39000,124288,17,62152.5
41000,83288,17,41652.5
43000,40288,17,20152.5
45000,519576,18,259797
47000,472576,18,236297
49000,423576,18,211797
51000,372576,18,186297
53000,319576,18,159797
55000,264576,18,132297
57000,207576,18,103797
59000,148576,18,74297
67516
